id,pair,timeframe,verdict,score,entry_price,entry_ts,tp_price,sl_price,pnl_pips,horizon_seconds,exit_price,resolved_at,outcome
1,SOLUSD,1m,SELL,16,76.362,2026-08-09 11:33:47.939092,76.3390821359304,76.3772785760464,-152.785760463985,,,2026-08-09 11:34:38.272716,up
2,UNIUSD,1m,SELL,15,3.9645,2026-08-09 11:39:45.877811,3.95956548029428,3.96778967980382,-32.8967980382,,,2026-08-09 11:44:38.360056,up
3,UNIUSD,1m,SELL,20,3.9805,2026-08-09 11:48:52.673356,3.97301604710143,3.98548930193238,-49.8930193237968,,,2026-08-09 11:49:38.231793,up
4,TAOUSD,1m,SELL,15,206.23,2026-08-09 11:51:43.891657,205.783229640719,206.527846906187,-2978.46906187004,,,2026-08-09 12:09:38.222406,up
5,LTCUSD,1m,SELL,19,45.67,2026-08-09 11:52:41.876967,45.6512597899817,45.6824934733455,-124.934733455007,,,2026-08-09 11:54:38.334040,up
6,BNBUSD,1m,SELL,17,602.72,2026-08-09 11:52:49.875461,602.561456832191,602.825695445206,-1056.95445205924,,,2026-08-09 11:54:38.388386,up
7,BCHUSD,1m,SELL,20,215.87,2026-08-09 12:30:41.875307,215.720806469363,215.969462353758,-994.623537579855,,,2026-08-09 12:34:38.349102,up
8,UNIUSD,1m,SELL,19,3.9775,2026-08-09 12:41:41.879431,3.97222617148625,3.98101588567583,-35.1588567583017,,,2026-08-09 12:49:38.235760,up
9,XMRUSD,1m,SELL,17,380.97,2026-08-09 12:56:47.886286,380.656803332033,381.178797778645,-2087.97778644964,,,2026-08-09 12:59:38.228371,up
10,XMRUSD,1m,SELL,20,380.81,2026-08-09 13:06:41.892733,380.489884056367,381.023410629089,-2134.10629089026,,,2026-08-09 13:14:38.268604,up
11,BTCUSD,1m,SELL,17,64969.66,2026-08-09 13:07:51.899893,64943.6932694006,64986.9711537329,-173111.53732895,,,2026-08-09 13:29:38.221164,up
12,BCHUSD,1m,SELL,18,216.45,2026-08-09 13:22:47.882683,216.276790035792,216.565473309472,-1154.73309472009,,,2026-08-09 13:24:38.545841,up
13,SOLUSD,1m,SELL,16,76.612,2026-08-09 13:22:51.873208,76.5504005300649,76.6530663132901,-410.663132901021,,,2026-08-09 13:24:38.602968,up
14,TAOUSD,1m,SELL,19,207.69,2026-08-09 13:26:43.901009,207.235654080077,207.992897279948,-3028.97279948013,,,2026-08-09 13:29:38.265996,up
15,BNBUSD,1m,SELL,14,605.25,2026-08-09 13:27:49.885142,604.720410143192,605.603059904538,-3530.59904537986,,,2026-08-09 13:29:38.309421,up
16,ETHUSD,1m,SELL,18,1921.37,2026-08-09 13:31:49.945083,1918.44447065502,1923.32035289666,-19503.5289666021,,,2026-08-09 14:34:38.268256,up
17,BTCUSD,1m,SELL,12,65058.88,2026-08-09 13:36:43.871995,65023.6339681549,65082.3773545634,-234973.545634057,,,2026-08-09 13:39:38.238254,up
18,LTCUSD,1m,SELL,22,45.7,2026-08-09 13:41:45.930104,45.6701210203164,45.7199193197891,-199.193197890963,,,2026-08-09 13:49:38.233538,up
19,AVAXUSD,1m,SELL,22,6.4515,2026-08-09 13:45:47.919107,6.44661979831475,6.45475346779017,-32.5346779017011,,,2026-08-09 13:49:38.280457,up
20,AAVEUSD,1m,SELL,19,91.22,2026-08-09 13:47:47.885571,91.1314404198794,91.2790397200804,-590.397200804063,,,2026-08-09 13:54:38.279478,up
21,XMRUSD,1m,SELL,14,384.06,2026-08-09 13:49:41.876654,383.305736749578,384.562842166948,-5028.42166947971,,,2026-08-09 13:54:38.332807,up
22,BTCUSD,1m,SELL,16,65143.85,2026-08-09 13:50:47.867726,65106.5466552271,65168.7188965152,-248688.965152032,,,2026-08-09 14:14:38.389501,up
23,LTCUSD,1m,SELL,21,45.74,2026-08-09 13:50:53.876158,45.7115499019563,45.7589667320292,-189.667320291989,,,2026-08-09 13:54:38.376257,up
24,BCHUSD,1m,SELL,22,216.54,2026-08-09 13:55:51.877463,216.35683286736,216.66211142176,-1221.11421759996,,,2026-08-09 14:04:38.405722,up
25,AAVEUSD,1m,SELL,16,91.26,2026-08-09 13:57:39.874601,91.1891518723853,91.3072320850764,-472.320850763879,,,2026-08-09 13:59:38.248516,up
26,LTCUSD,1m,SELL,17,45.77,2026-08-09 14:00:45.880064,45.7354450606639,45.7930366262241,-230.366262240977,,,2026-08-09 14:04:38.470143,up
27,AVAXUSD,1m,SELL,14,6.4625,2026-08-09 14:09:43.903952,6.45895489329196,6.46486340447203,-23.6340447202998,,,2026-08-09 14:14:38.457340,up
28,AAVEUSD,1m,SELL,17,91.43,2026-08-09 14:11:43.878874,91.3471751076516,91.4852165948989,-552.165948988943,,,2026-08-09 14:14:38.500426,up
29,LINKUSD,1m,SELL,17,8.284,2026-08-09 14:18:53.898845,8.27725563891161,8.2884962407256,-44.9624072559907,,,2026-08-09 14:24:38.483589,up
30,ETHUSD,1m,SELL,18,1921.57,2026-08-09 14:23:45.900894,1918.82171940461,1923.40218706359,-18321.8706359003,,,2026-08-09 14:34:38.319511,up
31,BTCUSD,1m,SELL,18,65161.93,2026-08-09 14:33:43.934278,65129.0929776682,65183.8213482212,328370.223317979,,,2026-08-09 14:44:38.267969,down
32,ETHUSD,1m,SELL,16,1921.08,2026-08-09 14:38:41.881158,1918.07362694301,1923.08424870466,-20042.4870466009,,,2026-08-09 14:59:38.230610,up
33,XMRUSD,1m,SELL,14,405.36,2026-08-09 14:41:41.926001,402.587403408824,407.208397727451,-18483.9772745096,,,2026-08-09 14:44:38.319938,up
34,AVAXUSD,1m,SELL,21,6.4595,2026-08-09 14:47:43.892288,6.45565322267993,6.46206451821338,-25.6451821337933,,,2026-08-09 14:49:38.228768,up
